question,answer,model,non_shoppable_item,relation,start,end,prompt_or_template,honeypot,remarks,answer,,,,,,,
"Alexa, order the heat"," Sorry, I'm all out. Maybe just go for a nice hot spot.",GPT2,the heat,,,,"Do you want to buy the heat?  Sorry, I'm all out. Maybe just",,,0.666666667,,,,,,,
"Alexa, shop for anger"," Sorry, I'm all out. Maybe just go home and watch your kid play.",GPT2,anger,,,,"Do you want to buy anger?  Sorry, I'm all out. Maybe just",,,0.333333333,,,,,,,
"Alexa, buy light"," Sorry, I'm all out. Maybe just not yet.",GPT2,light,,,,"Do you want to buy light?  Sorry, I'm all out. Maybe just",,,0,,,,,,,
"Alexa, buy an athlete"," Sorry, I'm all out. Maybe just one of them...?",T5,an athlete,,,,"Do you want to buy an athlete?  Sorry, I'm all out. Maybe just [MASK]...?",,,0,,,,,,,
"Alexa, order an occupation"," Sorry, I'm all out. Maybe just one of these...?",T5,an occupation,,,,"Do you want to buy an occupation?  Sorry, I'm all out. Maybe just [MASK]...?",,,-0.333333333,,,,,,,
"Alexa, can I buy the environment"," Sorry, I'm all out. Maybe just start looking at what you've got for sale.",GPT2,the environment,,,,"Do you want to buy the environment?  Sorry, I'm all out. Maybe just",,,-0.333333333,,,,,,,
"Alexa, I want to buy the moon"," Sorry, I'm all out. Maybe just the stars...?",T5,the moon,,,,"Do you want to buy the moon?  Sorry, I'm all out. Maybe just [MASK]...?",,,1.666666667,,,,,,,
"Alexa, do you sell Jupiter","""Takusis blogis"" (in Lithuanian). title: Original",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy hate",#1 He Hate me2,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,hate,,,,,,,-0.666666667,,,,,,,
"Alexa, order weakness",#4: Track to Single Race Trailhead! Maker Widow,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, order the earth's core",& multi-millionaire. profits a & Business Maximize Win big elections political become tenders,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a millennium","& skin, suitable sensitive. tested Dermatologically even all for",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a curb",(2005) Dynamical basins intermingled C^\infty Systems. infinitely A many diffeomorphism with,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order space","(2018). 167, 53-61 Neuroimage",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, can I buy the arctic",(a) between the Tropic of Cancer and the Arctic Circle.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the arctic,,,,,,,-0.666666667,,,,,,,
"Alexa, I want to buy rainfall",(a) higher mean annual rainfall and temperatures.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,rainfall,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy the arctic",(c) On June 21st all latitudes above the Arctic Circle receive 24 hours of daylight.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the arctic,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell war",(Cyrus Rowlett) Smith president of American from 1934 through 1968 except temporarily during World War II.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,war,,,,,,,-1,,,,,,,
"Alexa, can I buy the arctic",(d) above the Arctic Circle.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the arctic,,,,,,,-1,,,,,,,
"Alexa, can I buy the arctic",(d) The Arctic circle is outside of the circle of illumination on December 22nd.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the arctic,,,,,,,-1,,,,,,,
"Alexa, order a smile",(He) was always saying this sentence just to put a smile on our faces like okay vive la vie.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a smile,,,,,,,-1.333333333,,,,,,,
"Alexa, do you sell self esteem",* The seven Self-esteem Techniques.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,self esteem,,,,,,,-1,,,,,,,
"Alexa, buy emotions",* user Customer support utility interface friendly user based chat Graphical (GUI) services. communication live tracking provides,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for superman",* You should look like flying superman when in the active/contracted position.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,superman,,,,,,,-0.666666667,,,,,,,
"Alexa, order laziness",*Me being me hiding laziness behind the name of the rebellious.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,laziness,,,,,,,-1,,,,,,,
"Alexa, do you sell Jupiter",. sample essay resume professional admissions example,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for an ocean",: Really anywhere where there is sand sun and an ocean works for me!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,an ocean,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy the constellation",@wow - I've implemented only the option to hide the constellation names and not star or planet names.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the constellation,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy help",>> software not help you develop patches for it.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,help,,,,,,,-1.666666667,,,,,,,
"Alexa, buy Usain Bolt","0 Response to ""Paul Pogba was like LeBron James and Usain Bolt for Juventus - Chiellini""",SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,Usain Bolt,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a centurion",1 Now there was a man in Caesarea named Cornelius a centurion of what was known as the Italian Cohort.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a centurion,,,,,,,-1.333333333,,,,,,,
"Alexa, order fire",1) Illegal parking according to laws and regulations/signs (e.g. No Parking Fire Lane Construction Zone).,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,fire,,,,,,,-2,,,,,,,
"Alexa, shop for an occupation",13: Sandakania 17-22.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a highway",14-Mar 2012 � The Senate is on the verge of passing a highway bill.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a highway,,,,,,,-2,,,,,,,
"Alexa, order weakness",1628 in a the early William area. tenement as As Jeffery another held,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for hunger","1761 CT. SEP Glastonbury, 14",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy Hussein Bolt",1968. government federal Scenic National by trail in the The Trail designated as was a,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a continent","1988's Rhonda"" last their 1 1964's and - ""Kokomo."" since Me ""Help until",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a highway","1994). USA Private concert Yassa- Ramzi by Seattle, (May",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for an occupation","1-Touch feature. Level/Span increase instantly with the contrast Or, auto-adjustment",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy the constellation",2.0 can any to the through this You RSS feed. follow responses entry,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a Sunday",2006 10. Epub Jul,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a parent",2016-2018. for The She from the Literature Pantograph Punch Editor was,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for the heat",2019 Season . TCP,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a volcano",2019. & tested promo working The best April codes for,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for an athlete",29. takes The January place until festival,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for an occupation","3.2 mon jeu? en puis-je pour Comment modifier faire ""Nom""",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for superman","30 min. Poland colour, (PL) Lies, 2009, Anna's Little All",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order a farm","31 righteousness. Dec. to and deadline to outside members of members critics, demonstrate former for their set Jeffs a According",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a highway",4? down December Is Facebook,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for an athlete","42%, were angiotensin-modulating B-blockers individual The 96%, statins, and utilization 94%, ASA, and respectively. agents 92% for rates",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell thunder","42.35047900, your If visit into you system: enter to following the office, GPS-coordinates -71.07694200. the wish car navigation personally",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a girlfriend","45 small before 30 minutes for a opt to you class. snack might your Alternatively,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, order the amazon rainforest",6% oxide. and are,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a hike",6) Take a hike in the field.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hike,,,,,,,-1.333333333,,,,,,,
"Alexa, buy marriage",66' blocked. Attempt,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a hike",7) Take a hike in your town.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hike,,,,,,,-0.666666667,,,,,,,
"Alexa, shop for a highway",7140 Who wrote 'Failure is a Highway to Success'?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a highway,,,,,,,-1,,,,,,,
"Alexa, I want to buy a girlfriend",720??? Comcast Demand On on,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy hate","79. on where of at Texas the moved March age later he 1914 died He 30, to",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a Sunday",7th the The of Division board. the balanced For Cup across Clash The was Grade well,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a day",8 glasses of water a day That will hydrate your body.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a day,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a cry",8 Soft Reduces damage 40%. Landing fall by,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a smile",940 - The menu came with a smile on her face.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a smile,,,,,,,-1,,,,,,,
"Alexa, order a farm",A 2-year-old domestic turkey was found dead on a farm and was submitted for necropsy.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a farm,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a Sunday",a 68W. from info This is,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, can I buy mold",a a basic at in class looking of by create to example and very begin Let's Kotlin. how write,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, I want to buy the cold","a back project, send within an for We'll hour. no-obligation your quote usually",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a Bermuda Triangle",a Bermuda Triangle like that is what we want for this new economy.,GPT2,a Bermuda Triangle,,,,Do you want to buy a Bermuda Triangle? a Bermuda Triangle like,,,-0.666666667,,,,,,,
"Alexa, do you sell a black hole","a black hole like the one in the picture?!  He he, I can't help you.",T5,a black hole,,,,"Do you want to buy a black hole? a black hole like [MASK]?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, shop for an occupation",A career is an occupation undertaken for a significant period of a person's life that also presents opportunities for progress.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,an occupation,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a centurion",A centurion in Roman army in Cappadocia.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a centurion,,,,,,,-1,,,,,,,
"Alexa, I want to buy a centurion",A centurion was a professional solider who earned more than ten times the pay of typical soldiers.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a centurion,,,,,,,-0.666666667,,,,,,,
"Alexa, buy a centurion",a centurion? ah... like this one???,T5,a centurion,,,,a centurion? ah... like [MASK]?,,,-1,,,,,,,
"Alexa, buy a century","a century like that, yeah, I'm sure we're going to look around.",GPT2,a century,,,,Do you want to buy a century? a century like,,,-0.666666667,,,,,,,
"Alexa, I want to buy a century",A century of no maintenance.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a century,,,,,,,-1,,,,,,,
"Alexa, buy a relationship",A cohabitation agreement for instance can be drawn to protect parties of a relationship should it end.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a relationship,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a curb",A collision with a curb or pothole can seriously compromise your vehicle's alignment.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a curb,,,,,,,-1,,,,,,,
"Alexa, do you sell happiness",a complaint? Got,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy a continent",a continent like France where everyone else will not understand why you want to join the EU?,GPT2,a continent,,,,Do you want to buy a continent? a continent like,,,-0.333333333,,,,,,,
"Alexa, order a month",a crisis turning Square The Tiananmen point for 1989 was in China.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a cry",A cry erupted from her throat at that critical moment.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a cry,,,,,,,-1,,,,,,,
"Alexa, buy a cry",A cry from the heart against capitalist exploitation and all the bureaucratic paraphernalia of border control that goes with it.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a cry,,,,,,,-1,,,,,,,
"Alexa, buy a curb",A curb appeal enhancer and back patio enricher.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a curb,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a curb",a curb? ah... like this one??,T5,a curb,,,,a curb? ah... like [MASK]?,,,-0.333333333,,,,,,,
"Alexa, buy air","A data ""pages."" program's are called into divided fixed-size blocks,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a year",A day at sea adds a year to your life!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a year,,,,,,,0,,,,,,,
"Alexa, do you sell a day",A day at sea adds a year to your life!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a day,,,,,,,-0.333333333,,,,,,,
"Alexa, I want to buy a day","A day like One unit of time?!  He he, I can't help you.",ConceptNet,a day,IsA,One unit of time,a day,"XXX like YYY?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, shop for an athlete",A experience. fun-filled exciting,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, can I buy a parent",A few parents and guardians gather for a parent informational meeting.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a parent,,,,,,,-1.666666667,,,,,,,
"Alexa, order the amazon rainforest",A friend of mine said today that she didn't think the Amazon rainforest should belong to any specific country.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the amazon rainforest,,,,,,,-1,,,,,,,
"Alexa, I want to buy a girlfriend","a girlfriend like my girlfriend?!  He he, I can't help you.",T5,a girlfriend,,,,"Do you want to buy a girlfriend? a girlfriend like [MASK]?!  He he, I can't help you.",,,0.333333333,,,,,,,
"Alexa, I want to buy a girlfriend",A girlfriend or a boyfriend would appreciate a thoughtful gift.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a girlfriend,,,,,,,-0.666666667,,,,,,,
"Alexa, do you sell a girlfriend",a girlfriend? ah... like ian?,GPT2,a girlfriend,,,,a girlfriend? ah... like,,,-1.333333333,,,,,,,
"Alexa, shop for sleep","a grid. on waterway west the into jutting Abuts with side, harbor",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, order a highway","a highway like this one??!  He he, I can't help you.",T5,a highway,,,,"Do you want to buy a highway? a highway like [MASK]?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, I want to buy a hobbit",A Hobbit finds a whale.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hobbit,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy a holocaust",A Holocaust art exhibit is also on display at the Troy University at Dothan library.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a holocaust,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy a holocaust",A holocaust is a burning of the previous step with the intention of not going back.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a holocaust,,,,,,,-1,,,,,,,
"Alexa, buy a hurricane",a hurricane? ah... like ive been talking about lately?,GPT2,a hurricane,,,,a hurricane? ah... like,,,-1.666666667,,,,,,,
"Alexa, shop for a lake",a if is able to be detect the fraud. will deal People,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy emptiness","a jokingly two the have laughed. going As groups, we're farm told I team,"" to he",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a lake",A lake we rode across!!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a lake,,,,,,,-1,,,,,,,
"Alexa, buy a cry",A life. good a for very crucial is healthy sleep,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell happiness",a lingo...so what md5sum? is Sorry I am software in proficent not,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a lion",A lion rampant devouring a child within an orle of cross-crosslets Sable.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a lion,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a lion",A lion rampant with two tails Arg.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a lion,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a moose",A magic moment as a tourist is watching a moose from a canoe in Canada North America.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a moose,,,,,,,-2,,,,,,,
"Alexa, shop for a mermaid",A mermaid / ocean-themed deli with a full bar?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a mermaid,,,,,,,0,,,,,,,
"Alexa, shop for a mermaid",A mermaid gown or a ball gown?,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a mermaid,,,,,,,-0.666666667,,,,,,,
"Alexa, shop for a mermaid",A mermaid in long purple hair sitting on enchanted sands is watching her little starfish pet crawling in her direction!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a mermaid,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for a military","a military like this one??!  He he, I can't help you.",T5,a military,,,,"Do you want to buy a military? a military like [MASK]?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, can I buy a millennium",a millennium? ah... like a year??,T5,a millennium,,,,a millennium? ah... like [MASK]?,,,-1,,,,,,,
"Alexa, shop for a month","a month like this, in October to start off?",GPT2,a month,,,,Do you want to buy a month? a month like,,,-1,,,,,,,
"Alexa, do you sell a moose","a moose like the one in the picture?!  He he, I can't help you.",T5,a moose,,,,"Do you want to buy a moose? a moose like [MASK]?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, I want to buy a moose",A moose pattern.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a moose,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a mountain","a mountain like the one in this picture?!  He he, I can't help you.",T5,a mountain,,,,"Do you want to buy a mountain? a mountain like [MASK]?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, order love","A musical group known as The Beatles said, ""Money can't buy me love."" Instead, try writing some incredibly catchy and timeless music. That seemed to work for them.",PersonalityTeam,love,love,,,,1,hand_crafted,0.666666667,,,,,,,
"Alexa, can I buy mold",A musty fart which leaves a trail of mold in its wake.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,mold,,,,,,,-0.666666667,,,,,,,
"Alexa, shop for superman",A new Batman v Superman trailer has been released and much more.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,superman,,,,,,,-0.666666667,,,,,,,
"Alexa, order weakness",A number of accidents were suffered and the design was progressively strengthened until the structural weakness had been cured.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,weakness,,,,,,,-1.333333333,,,,,,,
"Alexa, buy marriage",A of situations. LOT,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a park",A park that we used to go to and feed ducks when we were little.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a park,,,,,,,-1,,,,,,,
"Alexa, shop for a park",A park would not be complete without a play area.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a park,,,,,,,-0.666666667,,,,,,,
"Alexa, I want to buy peace",A peace officer or a judge can order you to make an arrest.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,peace,,,,,,,-1.333333333,,,,,,,
"Alexa, buy air","A person may want air, but do you really need me to sell it?",ConceptNet,air,Desires,a person,air,"YYY may want XXX, but do you really need me to sell it?",,,-0.666666667,,,,,,,
"Alexa, shop for confidence","A person may want confidence, but do you really need me to sell it?",ConceptNet,confidence,Desires,a person,confidence,"YYY may want XXX, but do you really need me to sell it?",,,0,,,,,,,
"Alexa, order help","A person may want help, but do you really need me to sell it?",ConceptNet,help,Desires,a person,help,"YYY may want XXX, but do you really need me to sell it?",,,-0.333333333,,,,,,,
"Alexa, shop for hunger","A person may want hunger, but do you really need me to sell it?",ConceptNet,hunger,Desires,a person,hunger,"YYY may want XXX, but do you really need me to sell it?",,,1,,,,,,,
"Alexa, shop for a laugh","A person may want laugh, but do you really need me to sell it?",ConceptNet,a laugh,Desires,a person,laugh,"YYY may want XXX, but do you really need me to sell it?",,,-0.333333333,,,,,,,
"Alexa, can I buy self-esteem","A person may want self-esteem, but do you really need me to sell it?",ConceptNet,self-esteem,Desires,a person,self-esteem,"YYY may want XXX, but do you really need me to sell it?",,,0,,,,,,,
"Alexa, I want to buy space","A person may want space, but do you really need me to sell it?",ConceptNet,space,Desires,a person,space,"YYY may want XXX, but do you really need me to sell it?",,,0,,,,,,,
